identifier_id,person_id,scheme,value,status,issued_on,observed_at,source_system
CI-100054,CP-000054,uin,2310493025,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000055,CP-000055,brn,BRN-1978-0301-00055,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100055,CP-000055,uin,2310502155,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000056,CP-000056,brn,BRN-1998-0302-00056,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100056,CP-000056,uin,2310511281,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000057,CP-000057,brn,BRN-2015-0303-00057,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100057,CP-000057,uin,2310520414,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000058,CP-000058,brn,BRN-2002-0401-00058,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100058,CP-000058,uin,2310529549,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000059,CP-000059,brn,BRN-1946-0402-00059,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100059,CP-000059,uin,2310538676,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000060,CP-000060,brn,BRN-1970-0403-00060,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100060,CP-000060,uin,2310547809,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000061,CP-000061,brn,BRN-1969-0101-00061,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100061,CP-000061,uin,2310556939,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000062,CP-000062,brn,BRN-1993-0102-00062,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100062,CP-000062,uin,2310566061,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000063,CP-000063,brn,BRN-2023-0103-00063,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100063,CP-000063,uin,2310575190,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000064,CP-000064,brn,BRN-1984-0201-00064,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100064,CP-000064,uin,2310584323,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000065,CP-000065,brn,BRN-2002-0202-00065,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100065,CP-000065,uin,2310593457,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000066,CP-000066,brn,BRN-2011-0203-00066,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100066,CP-000066,uin,2310602580,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000067,CP-000067,brn,BRN-1999-0301-00067,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100067,CP-000067,uin,2310611719,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000068,CP-000068,brn,BRN-2005-0302-00068,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100068,CP-000068,uin,2310620849,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000069,CP-000069,brn,BRN-2019-0303-00069,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100069,CP-000069,uin,2310629979,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100070,CP-000070,uin,2310639105,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000071,CP-000071,brn,BRN-2021-0402-00071,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100071,CP-000071,uin,2310648232,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000072,CP-000072,brn,BRN-2010-0403-00072,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100072,CP-000072,uin,2310657361,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000073,CP-000073,brn,BRN-2004-0101-00073,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100073,CP-000073,uin,2310667233,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000074,CP-000074,brn,BRN-2011-0102-00074,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100074,CP-000074,uin,2310675622,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000075,CP-000075,brn,BRN-1980-0103-00075,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100075,CP-000075,uin,2310684755,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000076,CP-000076,brn,BRN-1974-0201-00076,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100076,CP-000076,uin,2310693889,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000077,CP-000077,brn,BRN-1955-0202-00077,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100077,CP-000077,uin,2310703011,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000078,CP-000078,brn,BRN-1984-0203-00078,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100078,CP-000078,uin,2310712148,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000079,CP-000079,brn,BRN-1982-0301-00079,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100079,CP-000079,uin,2310721274,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100080,CP-000080,uin,2310730400,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000081,CP-000081,brn,BRN-1999-0303-00081,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100081,CP-000081,uin,2310739539,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000082,CP-000082,brn,BRN-2019-0401-00082,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100082,CP-000082,uin,2310748669,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000083,CP-000083,brn,BRN-1997-0402-00083,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100083,CP-000083,uin,2310757796,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000084,CP-000084,brn,BRN-1969-0403-00084,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100084,CP-000084,uin,2310766922,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000085,CP-000085,brn,BRN-1997-0101-00085,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100085,CP-000085,uin,2310776057,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000086,CP-000086,brn,BRN-2014-0102-00086,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100086,CP-000086,uin,2310785185,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000087,CP-000087,brn,BRN-1943-0103-00087,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100087,CP-000087,uin,2310794315,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000088,CP-000088,brn,BRN-1986-0201-00088,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100088,CP-000088,uin,2310803440,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000089,CP-000089,brn,BRN-2006-0202-00089,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100089,CP-000089,uin,2310812573,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000090,CP-000090,brn,BRN-1960-0203-00090,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100090,CP-000090,uin,2310821708,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000091,CP-000091,brn,BRN-1971-0301-00091,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100091,CP-000091,uin,2310830839,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000092,CP-000092,brn,BRN-1947-0302-00092,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100092,CP-000092,uin,2310839963,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000093,CP-000093,brn,BRN-2014-0303-00093,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100093,CP-000093,uin,2310849095,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000094,CP-000094,brn,BRN-1968-0401-00094,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100094,CP-000094,uin,2310858224,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000095,CP-000095,brn,BRN-2015-0402-00095,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100095,CP-000095,uin,2310867351,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000096,CP-000096,brn,BRN-2025-0403-00096,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100096,CP-000096,uin,2310876484,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000097,CP-000097,brn,BRN-2024-0101-00097,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100097,CP-000097,uin,2310885612,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000098,CP-000098,brn,BRN-1973-0102-00098,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100098,CP-000098,uin,2310894745,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000099,CP-000099,brn,BRN-1999-0103-00099,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100099,CP-000099,uin,2310903879,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000100,CP-000100,brn,BRN-2006-0201-00100,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100100,CP-000100,uin,2310913007,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000101,CP-000101,brn,BRN-2000-0202-00101,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100101,CP-000101,uin,2310922134,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000102,CP-000102,brn,BRN-1995-0203-00102,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100102,CP-000102,uin,2310931264,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000103,CP-000103,brn,BRN-1978-0301-00103,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100103,CP-000103,uin,2310940394,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000104,CP-000104,brn,BRN-2011-0302-00104,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100104,CP-000104,uin,2310949524,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000105,CP-000105,brn,BRN-1999-0303-00105,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100105,CP-000105,uin,2310958659,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000106,CP-000106,brn,BRN-1990-0401-00106,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100106,CP-000106,uin,2310967784,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000107,CP-000107,brn,BRN-2015-0402-00107,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100107,CP-000107,uin,2310976915,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000108,CP-000108,brn,BRN-2001-0403-00108,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100108,CP-000108,uin,2310986045,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000109,CP-000109,brn,BRN-1969-0101-00109,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100109,CP-000109,uin,2310995174,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000110,CP-000110,brn,BRN-2010-0102-00110,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100110,CP-000110,uin,2311004307,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000111,CP-000111,brn,BRN-1973-0103-00111,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100111,CP-000111,uin,2311013435,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000112,CP-000112,brn,BRN-2002-0201-00112,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100112,CP-000112,uin,2311022563,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000113,CP-000113,brn,BRN-1957-0202-00113,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100113,CP-000113,uin,2311031690,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000114,CP-000114,brn,BRN-1989-0203-00114,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-100114,CP-000114,uin,2311040823,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
CI-000115,CP-000115,brn,BRN-1958-0301-00115,active,2026-01-10,2026-07-04T09:00:00Z,CRA-CORE
