person_id,uin,given_name,family_name,sex,birth_date,birth_place_district_code,life_status,death_date,observed_at,source_system
CP-000076,2310693889,Lina76,Raman,male,1974-11-17,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000077,2310703011,Zaid77,Almeida,female,1955-06-06,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000078,2310712148,Rina78,Mori,male,1984-01-28,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000079,2310721274,Kiran79,Khan,female,1982-06-23,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000080,2310730400,Eli80,Santos,male,2021-06-16,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000081,2310739539,Mara81,Okafor,female,1999-07-24,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000082,2310748669,Tala82,Dela Cruz,male,2019-11-12,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000083,2310757796,Rafi83,Aquino,female,1997-12-15,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000084,2310766922,Ari84,Kone,male,1969-06-17,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000085,2310776057,Mika85,Mensah,female,1997-06-04,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000086,2310785185,Nela86,Raman,male,2014-01-13,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000087,2310794315,Tomas87,Almeida,female,1943-09-17,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000088,2310803440,Lina88,Mori,male,1986-07-07,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000089,2310812573,Zaid89,Khan,female,2006-09-03,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000090,2310821708,Rina90,Santos,male,1960-04-20,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000091,2310830839,Kiran91,Okafor,female,1971-10-28,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000092,2310839963,Eli92,Dela Cruz,male,1947-06-09,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000093,2310849095,Mara93,Aquino,female,2014-05-13,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000094,2310858224,Tala94,Kone,male,1968-12-15,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000095,2310867351,Rafi95,Mensah,female,2015-03-17,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000096,2310876484,Ari96,Raman,male,2025-11-22,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000097,2310885612,Mika97,Almeida,female,2024-12-11,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000098,2310894745,Nela98,Mori,male,1973-01-19,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000099,2310903879,Tomas99,Khan,female,1999-04-08,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000100,2310913007,Lina100,Santos,male,2006-09-10,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000101,2310922134,Zaid101,Okafor,female,2000-07-25,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000102,2310931264,Rina102,Dela Cruz,male,1995-11-12,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000103,2310940394,Kiran103,Aquino,female,1978-01-17,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000104,2310949524,Eli104,Kone,male,2011-09-23,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000105,2310958659,Mara105,Mensah,female,1999-06-05,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000106,2310967784,Tala106,Raman,male,1990-10-25,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000107,2310976915,Rafi107,Almeida,female,2015-02-10,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000108,2310986045,Ari108,Mori,male,2001-03-19,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000109,2310995174,Mika109,Khan,female,1969-11-19,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000110,2311004307,Nela110,Santos,male,2010-11-13,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000111,2311013435,Tomas111,Okafor,female,1973-10-19,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000112,2311022563,Lina112,Dela Cruz,male,2002-01-08,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000113,2311031690,Zaid113,Aquino,female,1957-01-22,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000114,2311040823,Rina114,Kone,male,1989-02-11,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000115,2311049954,Kiran115,Mensah,female,1958-10-23,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000116,2311059088,Eli116,Raman,male,1960-02-16,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000117,2311068212,Mara117,Almeida,female,2020-10-17,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000118,2311077342,Tala118,Mori,male,1957-05-25,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000119,2311086472,Rafi119,Khan,female,1992-09-28,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000120,2311095607,Ari120,Santos,male,2000-09-07,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000121,2311104730,Mika121,Okafor,female,1997-09-08,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000122,2311120153,Nela122,Dela Cruz,male,2009-10-23,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000123,2311122998,Tomas123,Aquino,female,1992-07-08,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000124,2311132123,Lina124,Kone,male,1992-12-11,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000125,2311141251,Zaid125,Mensah,female,1976-05-24,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000126,2311150381,Rina126,Raman,male,1991-07-08,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000127,2311159517,Kiran127,Almeida,female,1964-05-25,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000128,2311168641,Eli128,Mori,male,1998-04-13,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000129,2311178141,Mara129,Khan,female,1961-07-16,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000130,2311186909,Tala130,Santos,male,1960-09-24,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000131,2311196032,Rafi131,Okafor,female,1996-12-04,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000132,2311205169,Ari132,Dela Cruz,male,2019-05-23,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000133,2311214299,Mika133,Aquino,female,2007-04-22,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000134,2311223427,Nela134,Kone,male,1942-06-14,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000135,2311232559,Tomas135,Mensah,female,2017-05-14,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000136,2311241680,Lina136,Raman,male,2022-04-28,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000137,2311250816,Zaid137,Almeida,female,1976-05-06,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000138,2311259942,Rina138,Mori,male,2009-09-01,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000139,2311269072,Kiran139,Khan,female,2007-04-28,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000140,2311278200,Eli140,Santos,male,1997-10-27,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000141,2311287331,Mara141,Okafor,female,1963-09-15,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000142,2311296464,Tala142,Dela Cruz,male,2024-05-20,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000143,2311305599,Rafi143,Aquino,female,1946-10-19,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000144,2311314722,Ari144,Kone,male,2016-07-23,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000145,2311323851,Mika145,Mensah,female,2010-09-04,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000146,2311332981,Nela146,Raman,male,2002-08-07,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000147,2311342118,Tomas147,Almeida,female,1991-12-24,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000148,2311351240,Lina148,Mori,male,1999-03-23,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000149,2311360379,Zaid149,Khan,female,2016-12-11,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000150,2311369500,Rina150,Santos,male,1962-11-25,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000151,2311379002,Kiran151,Okafor,female,1969-10-08,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000152,2311387766,Eli152,Dela Cruz,male,1946-12-21,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000153,2311396895,Mara153,Aquino,female,1994-09-13,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000154,2311406024,Tala154,Kone,male,2010-12-07,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000155,2311415156,Rafi155,Mensah,female,1977-09-26,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000156,2311424287,Ari156,Raman,male,2007-08-13,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000157,2311433412,Mika157,Almeida,female,1990-04-12,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000158,2311442544,Nela158,Mori,male,2013-08-24,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000159,2311451677,Tomas159,Khan,female,2004-03-12,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000160,2311460805,Lina160,Santos,male,2011-12-27,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000161,2311469930,Zaid161,Okafor,female,1994-02-28,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000162,2311479064,Rina162,Dela Cruz,male,2014-06-25,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000163,2311488196,Kiran163,Aquino,female,2000-01-05,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000164,2311497327,Eli164,Kone,male,2007-12-11,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000165,2311506452,Mara165,Mensah,female,1997-09-04,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000166,2311515588,Tala166,Raman,male,2002-09-20,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000167,2311524719,Rafi167,Almeida,female,1978-06-20,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000168,2311533841,Ari168,Mori,male,1997-10-05,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000169,2311542979,Mika169,Khan,female,2015-09-18,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000170,2311552104,Nela170,Santos,male,1995-05-24,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000171,2311561232,Tomas171,Okafor,female,1976-08-26,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000172,2311570366,Lina172,Dela Cruz,male,2013-03-15,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000173,2311579493,Zaid173,Aquino,female,1987-03-16,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000174,2311588620,Rina174,Kone,male,1998-01-10,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000175,2311597757,Kiran175,Mensah,female,1953-04-13,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000176,2311606882,Eli176,Raman,male,2020-05-23,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000177,2311616013,Mara177,Almeida,female,2004-10-19,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000178,2311625144,Tala178,Mori,male,1941-02-09,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000179,2311634272,Rafi179,Khan,female,2010-05-15,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000180,2311643402,Ari180,Santos,male,1985-12-23,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000181,2311652530,Mika181,Okafor,female,2010-10-20,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000182,2311662038,Nela182,Dela Cruz,male,2009-08-15,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000183,2311670790,Tomas183,Aquino,female,1991-08-18,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000184,2311679926,Lina184,Kone,male,1994-08-28,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000185,2311689052,Zaid185,Mensah,female,2002-03-14,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000186,2311698182,Rina186,Raman,male,1982-06-03,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000187,2311707311,Kiran187,Almeida,female,2025-07-23,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000188,2311716440,Eli188,Mori,male,2015-03-10,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000189,2311725577,Mara189,Khan,female,1962-10-09,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000190,2311734707,Tala190,Santos,male,1999-04-17,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000191,2311743839,Rafi191,Okafor,female,1972-07-16,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000192,2311752965,Ari192,Dela Cruz,male,2001-11-25,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000193,2311762099,Mika193,Aquino,female,1967-01-09,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000194,2311771221,Nela194,Kone,male,1972-10-19,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000195,2311780353,Tomas195,Mensah,female,1990-07-24,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000196,2311789489,Lina196,Raman,male,2021-04-22,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000197,2311798618,Zaid197,Almeida,female,1986-04-16,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000198,2311807744,Rina198,Mori,male,2000-06-23,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000199,2311816872,Kiran199,Khan,female,2013-12-19,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000200,2311826000,Eli200,Santos,male,2006-09-28,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000201,2311835133,Mara201,Okafor,female,2002-01-25,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000202,2311844264,Tala202,Dela Cruz,male,1984-09-26,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000203,2311853399,Rafi203,Aquino,female,2011-04-09,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000204,2311862528,Ari204,Kone,male,1964-01-25,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000205,2311871650,Mika205,Mensah,female,2014-03-16,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000206,2311880785,Nela206,Raman,male,1969-10-07,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000207,2311889916,Tomas207,Almeida,female,2008-11-11,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000208,2311899043,Lina208,Mori,male,2022-11-14,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000209,2311908170,Zaid209,Khan,female,2017-10-10,XS-0202,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000210,2311917307,Rina210,Santos,male,1958-01-04,XS-0203,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000211,2311926439,Kiran211,Okafor,female,1999-05-05,XS-0301,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000212,2311935567,Eli212,Dela Cruz,male,2001-01-05,XS-0302,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000213,2311944696,Mara213,Aquino,female,1997-02-13,XS-0303,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000214,2311953823,Tala214,Kone,male,2017-04-16,XS-0401,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000215,2311962953,Rafi215,Mensah,female,2018-04-26,XS-0402,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000216,2311972085,Ari216,Raman,male,1959-06-01,XS-0403,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000217,2311981215,Mika217,Almeida,female,1983-09-17,XS-0101,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000218,2311990345,Nela218,Mori,male,1945-01-09,XS-0102,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000219,2311999472,Tomas219,Khan,female,1976-06-06,XS-0103,alive,,2026-07-04T09:00:00Z,CRA-CORE
CP-000220,2312008601,Lina220,Santos,male,1998-06-13,XS-0201,alive,,2026-07-04T09:00:00Z,CRA-CORE
