event_id,brn,child_person_id,mother_person_id,father_person_id,informant_person_id,informant_relationship,date_of_birth,place_type,facility_id,birth_attendant,sex_at_birth,observed_at,source_system
BE-00101,BRN-2000-0202-00101,CP-000101,,,CP-000101,parent,2000-07-25,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00102,BRN-1995-0203-00102,CP-000102,,,CP-000102,parent,1995-11-12,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00103,BRN-1978-0301-00103,CP-000103,,,CP-000103,parent,1978-01-17,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00104,BRN-2011-0302-00104,CP-000104,,,CP-000104,parent,2011-09-23,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00105,BRN-1999-0303-00105,CP-000105,,,CP-000105,parent,1999-06-05,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00106,BRN-1990-0401-00106,CP-000106,,,CP-000106,parent,1990-10-25,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00107,BRN-2015-0402-00107,CP-000107,,,CP-000107,parent,2015-02-10,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00108,BRN-2001-0403-00108,CP-000108,,,CP-000108,parent,2001-03-19,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00109,BRN-1969-0101-00109,CP-000109,,,CP-000109,parent,1969-11-19,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00110,BRN-2010-0102-00110,CP-000110,,,CP-000110,parent,2010-11-13,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00111,BRN-1973-0103-00111,CP-000111,,,CP-000111,parent,1973-10-19,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00112,BRN-2002-0201-00112,CP-000112,,,CP-000112,parent,2002-01-08,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00113,BRN-1957-0202-00113,CP-000113,,,CP-000113,parent,1957-01-22,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00114,BRN-1989-0203-00114,CP-000114,,,CP-000114,parent,1989-02-11,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00115,BRN-1958-0301-00115,CP-000115,,,CP-000115,parent,1958-10-23,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00116,BRN-1960-0302-00116,CP-000116,,,CP-000116,parent,1960-02-16,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00117,BRN-2020-0303-00117,CP-000117,,,CP-000117,parent,2020-10-17,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00118,BRN-1957-0401-00118,CP-000118,,,CP-000118,parent,1957-05-25,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00119,BRN-1992-0402-00119,CP-000119,,,CP-000119,parent,1992-09-28,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00120,BRN-2000-0403-00120,CP-000120,,,CP-000120,parent,2000-09-07,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00121,BRN-1997-0101-00121,CP-000121,,,CP-000121,parent,1997-09-08,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00122,BRN-2009-0102-00122,CP-000122,,,CP-000122,parent,2009-10-23,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00123,BRN-1992-0103-00123,CP-000123,,,CP-000123,parent,1992-07-08,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00124,BRN-1992-0201-00124,CP-000124,,,CP-000124,parent,1992-12-11,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00125,BRN-1976-0202-00125,CP-000125,,,CP-000125,parent,1976-05-24,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00126,BRN-1991-0203-00126,CP-000126,,,CP-000126,parent,1991-07-08,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00127,BRN-1964-0301-00127,CP-000127,,,CP-000127,parent,1964-05-25,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00128,BRN-1998-0302-00128,CP-000128,,,CP-000128,parent,1998-04-13,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00129,BRN-1961-0303-00129,CP-000129,,,CP-000129,parent,1961-07-16,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00130,BRN-1960-0401-00130,CP-000130,,,CP-000130,parent,1960-09-24,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00131,BRN-1996-0402-00131,CP-000131,,,CP-000131,parent,1996-12-04,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00132,BRN-2019-0403-00132,CP-000132,,,CP-000132,parent,2019-05-23,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00133,BRN-2007-0101-00133,CP-000133,,,CP-000133,parent,2007-04-22,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00134,BRN-1942-0102-00134,CP-000134,,,CP-000134,parent,1942-06-14,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00135,BRN-2017-0103-00135,CP-000135,,,CP-000135,parent,2017-05-14,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00136,BRN-2022-0201-00136,CP-000136,,,CP-000136,parent,2022-04-28,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00137,BRN-1976-0202-00137,CP-000137,,,CP-000137,parent,1976-05-06,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00138,BRN-2009-0203-00138,CP-000138,,,CP-000138,parent,2009-09-01,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00139,BRN-2007-0301-00139,CP-000139,,,CP-000139,parent,2007-04-28,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00140,BRN-1997-0302-00140,CP-000140,,,CP-000140,parent,1997-10-27,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00141,BRN-1963-0303-00141,CP-000141,,,CP-000141,parent,1963-09-15,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00142,BRN-2024-0401-00142,CP-000142,,,CP-000142,parent,2024-05-20,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00143,BRN-1946-0402-00143,CP-000143,,,CP-000143,parent,1946-10-19,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00144,BRN-2016-0403-00144,CP-000144,,,CP-000144,parent,2016-07-23,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00145,BRN-2010-0101-00145,CP-000145,,,CP-000145,parent,2010-09-04,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00146,BRN-2002-0102-00146,CP-000146,,,CP-000146,parent,2002-08-07,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00147,BRN-1991-0103-00147,CP-000147,,,CP-000147,parent,1991-12-24,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00148,BRN-1999-0201-00148,CP-000148,,,CP-000148,parent,1999-03-23,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00149,BRN-2016-0202-00149,CP-000149,,,CP-000149,parent,2016-12-11,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00150,BRN-1962-0203-00150,CP-000150,,,CP-000150,parent,1962-11-25,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00151,BRN-1969-0301-00151,CP-000151,,,CP-000151,parent,1969-10-08,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00152,BRN-1946-0302-00152,CP-000152,,,CP-000152,parent,1946-12-21,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00153,BRN-1994-0303-00153,CP-000153,,,CP-000153,parent,1994-09-13,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00154,BRN-2010-0401-00154,CP-000154,,,CP-000154,parent,2010-12-07,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00155,BRN-1977-0402-00155,CP-000155,,,CP-000155,parent,1977-09-26,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00156,BRN-2007-0403-00156,CP-000156,,,CP-000156,parent,2007-08-13,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00157,BRN-1990-0101-00157,CP-000157,,,CP-000157,parent,1990-04-12,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00158,BRN-2013-0102-00158,CP-000158,,,CP-000158,parent,2013-08-24,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00159,BRN-2004-0103-00159,CP-000159,,,CP-000159,parent,2004-03-12,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00160,BRN-2011-0201-00160,CP-000160,,,CP-000160,parent,2011-12-27,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00161,BRN-1994-0202-00161,CP-000161,,,CP-000161,parent,1994-02-28,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00162,BRN-2014-0203-00162,CP-000162,,,CP-000162,parent,2014-06-25,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00163,BRN-2000-0301-00163,CP-000163,,,CP-000163,parent,2000-01-05,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00164,BRN-2007-0302-00164,CP-000164,,,CP-000164,parent,2007-12-11,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00165,BRN-1997-0303-00165,CP-000165,,,CP-000165,parent,1997-09-04,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00166,BRN-2002-0401-00166,CP-000166,,,CP-000166,parent,2002-09-20,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00167,BRN-1978-0402-00167,CP-000167,,,CP-000167,parent,1978-06-20,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00168,BRN-1997-0403-00168,CP-000168,,,CP-000168,parent,1997-10-05,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00169,BRN-2015-0101-00169,CP-000169,,,CP-000169,parent,2015-09-18,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
BE-00170,BRN-1995-0102-00170,CP-000170,,,CP-000170,parent,1995-05-24,home,,traditional_birth_attendant,male,2026-07-04T09:00:00Z,CRA-CORE
BE-00171,BRN-1976-0103-00171,CP-000171,,,CP-000171,parent,1976-08-26,home,,traditional_birth_attendant,female,2026-07-04T09:00:00Z,CRA-CORE
