uin,person_id,legacy_nid,given_name,family_name,birth_date,sex,district_code,address_area,settlement_type,identity_status,pending_merge_with_uin,match_basis,alive,birth_brn,updated_at,observed_at,source_system
2300109568,CP-000012,NID-2001,Rafael,Nkomo,1944-02-01,male,XS-0301,XS-0301 civic area,urban,deceased,,,false,BRN-1944-0301-00012,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300118698,CP-000013,NID-2002,Imani,Nkomo,1950-10-03,female,XS-0301,XS-0301 civic area,urban,active,,,true,BRN-1950-0301-00013,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300127827,CP-000014,NID-2004,Otto,Ferreira,1947-05-05,male,XS-0302,XS-0302 civic area,urban,active,,,true,BRN-1947-0302-00014,2026-07-01T08:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300136959,CP-000015,NID-2005,Lucia,Ferreira,1951-06-30,female,XS-0302,XS-0302 civic area,urban,active,,,true,BRN-1951-0302-00015,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300146081,CP-000016,NID-2006,Mina,Rahman,1980-03-19,female,XS-0303,XS-0303 civic area,urban,active,,,true,BRN-1980-0303-00016,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300155218,CP-000017,NID-2010,Pavel,Rahman,1979-01-11,male,XS-0303,XS-0303 civic area,urban,deceased,,,false,BRN-1979-0303-00017,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300164345,CP-000018,NID-2011,Amina,Kone,1988-02-22,female,XS-0103,XS-0103 civic area,rural,active,,,true,BRN-1988-0103-00018,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300173478,CP-000019,NID-2012,Diego,Santos,1976-04-04,male,XS-0102,XS-0102 civic area,rural,active,,,true,BRN-1976-0102-00019,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300182600,CP-000020,NID-2013,Noor,Patel,1990-09-09,female,XS-0402,XS-0402 civic area,rural,active,,,true,BRN-1990-0402-00020,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300191733,CP-000021,NID-2014,Beatriz,Okafor,1982-10-10,female,XS-0401,XS-0401 civic area,rural,active,,,true,BRN-1982-0401-00021,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2300200865,CP-000022,NID-2015,Sefu,Dela Cruz,1984-12-01,male,XS-0403,XS-0403 civic area,rural,active,,,true,BRN-1984-0403-00022,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310209990,CP-000023,,Rafi23,Aquino,1989-02-19,female,XS-0402,XS-0402 sector 6,rural,active,,,true,BRN-1989-0402-00023,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310219126,CP-000024,,Ari24,Kone,1970-07-16,male,XS-0403,XS-0403 sector 7,rural,active,,,true,BRN-1970-0403-00024,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310228253,CP-000025,,Mika25,Mensah,2017-02-23,female,XS-0101,XS-0101 sector 8,urban,active,,,true,BRN-2017-0101-00025,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310237380,CP-000026,,Nela26,Raman,1999-06-14,male,XS-0102,XS-0102 sector 9,rural,active,,,true,BRN-1999-0102-00026,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310246514,CP-000027,,Tomas27,Almeida,1957-02-15,female,XS-0103,XS-0103 sector 1,rural,active,,,true,BRN-1957-0103-00027,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310255646,CP-000028,,Lina28,Mori,2006-09-28,male,XS-0201,XS-0201 sector 2,rural,active,,,true,BRN-2006-0201-00028,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310264776,CP-000029,,Zaid29,Khan,1985-03-07,female,XS-0202,XS-0202 sector 3,rural,active,,,true,BRN-1985-0202-00029,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310273903,CP-000030,,Rina30,Santos,1972-04-07,male,XS-0203,XS-0203 sector 4,urban,active,,,true,BRN-1972-0203-00030,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310283034,CP-000031,,Kiran31,Okafor,1967-05-15,female,XS-0301,XS-0301 sector 5,urban,active,,,true,BRN-1967-0301-00031,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310292169,CP-000032,,Eli32,Dela Cruz,1987-06-26,male,XS-0302,XS-0302 sector 6,urban,active,,,true,BRN-1987-0302-00032,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310301292,CP-000033,,Mara33,Aquino,2010-05-05,female,XS-0303,XS-0303 sector 7,urban,active,,,true,BRN-2010-0303-00033,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310310425,CP-000034,,Tala34,Kone,1990-12-20,male,XS-0401,XS-0401 sector 8,rural,active,,,true,BRN-1990-0401-00034,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310319558,CP-000035,,Rafi35,Mensah,1950-03-19,female,XS-0402,XS-0402 sector 9,urban,active,,,true,BRN-1950-0402-00035,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310328686,CP-000036,,Ari36,Raman,1999-08-13,male,XS-0403,XS-0403 sector 1,rural,active,,,true,BRN-1999-0403-00036,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310337812,CP-000037,,Mika37,Almeida,1987-09-03,female,XS-0101,XS-0101 sector 2,rural,active,,,true,BRN-1987-0101-00037,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310346943,CP-000038,,Nela38,Mori,1992-06-06,male,XS-0102,XS-0102 sector 3,rural,active,,,true,BRN-1992-0102-00038,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310356076,CP-000039,,Tomas39,Khan,2014-05-01,female,XS-0103,XS-0103 sector 4,rural,active,,,true,BRN-2014-0103-00039,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310365207,CP-000040,,Lina40,Santos,2016-09-28,male,XS-0201,XS-0201 sector 5,urban,active,,,true,BRN-2016-0201-00040,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310374331,CP-000041,,Zaid41,Okafor,2017-11-15,female,XS-0202,XS-0202 sector 6,rural,active,,,true,BRN-2017-0202-00041,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310383467,CP-000042,,Rina42,Dela Cruz,1996-07-13,male,XS-0203,XS-0203 sector 7,rural,active,,,true,BRN-1996-0203-00042,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310392598,CP-000043,,Kiran43,Aquino,2013-06-24,female,XS-0301,XS-0301 sector 8,urban,active,,,true,BRN-2013-0301-00043,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310401728,CP-000044,,Eli44,Kone,1990-12-01,male,XS-0302,XS-0302 sector 9,urban,active,,,true,BRN-1990-0302-00044,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310410852,CP-000045,,Mara45,Mensah,2018-05-07,female,XS-0303,XS-0303 sector 1,urban,active,,,true,BRN-2018-0303-00045,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310419983,CP-000046,,Tala46,Raman,2018-03-18,male,XS-0401,XS-0401 sector 2,rural,active,,,true,BRN-2018-0401-00046,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310429113,CP-000047,,Rafi47,Almeida,2020-12-23,female,XS-0402,XS-0402 sector 3,rural,active,,,true,BRN-2020-0402-00047,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310438240,CP-000048,,Ari48,Mori,2012-08-24,male,XS-0403,XS-0403 sector 4,rural,active,,,true,BRN-2012-0403-00048,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310447379,CP-000049,,Mika49,Khan,2017-01-15,female,XS-0101,XS-0101 sector 5,rural,active,,,true,BRN-2017-0101-00049,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310456507,CP-000050,,Nela50,Santos,2000-12-24,male,XS-0102,XS-0102 sector 6,urban,active,,,true,BRN-2000-0102-00050,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310465637,CP-000051,,Tomas51,Okafor,1999-06-12,female,XS-0103,XS-0103 sector 7,rural,active,,,true,BRN-1999-0103-00051,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310474769,CP-000052,,Lina52,Dela Cruz,1981-07-24,male,XS-0201,XS-0201 sector 8,rural,active,,,true,BRN-1981-0201-00052,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310483890,CP-000053,,Zaid53,Aquino,1962-06-17,female,XS-0202,XS-0202 sector 9,rural,active,,,true,BRN-1962-0202-00053,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310493025,CP-000054,,Rina54,Kone,1976-08-26,male,XS-0203,XS-0203 sector 1,rural,active,,,true,BRN-1976-0203-00054,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310502155,CP-000055,,Kiran55,Mensah,1978-04-06,female,XS-0301,XS-0301 sector 2,urban,active,,,true,BRN-1978-0301-00055,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310511281,CP-000056,,Eli56,Raman,1998-04-25,male,XS-0302,XS-0302 sector 3,urban,active,,,true,BRN-1998-0302-00056,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310520414,CP-000057,,Mara57,Almeida,2015-07-18,female,XS-0303,XS-0303 sector 4,urban,active,,,true,BRN-2015-0303-00057,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310529549,CP-000058,,Tala58,Mori,2002-08-12,male,XS-0401,XS-0401 sector 5,rural,active,,,true,BRN-2002-0401-00058,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310538676,CP-000059,,Rafi59,Khan,1946-04-04,female,XS-0402,XS-0402 sector 6,rural,active,,,true,BRN-1946-0402-00059,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310547809,CP-000060,,Ari60,Santos,1970-08-10,male,XS-0403,XS-0403 sector 7,urban,active,,,true,BRN-1970-0403-00060,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310556939,CP-000061,,Mika61,Okafor,1969-11-14,female,XS-0101,XS-0101 sector 8,rural,active,,,true,BRN-1969-0101-00061,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310566061,CP-000062,,Nela62,Dela Cruz,1993-08-24,male,XS-0102,XS-0102 sector 9,rural,active,,,true,BRN-1993-0102-00062,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310575190,CP-000063,,Tomas63,Aquino,2023-05-26,female,XS-0103,XS-0103 sector 1,rural,active,,,true,BRN-2023-0103-00063,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310584323,CP-000064,,Lina64,Kone,1984-11-09,male,XS-0201,XS-0201 sector 2,rural,active,,,true,BRN-1984-0201-00064,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310593457,CP-000065,,Zaid65,Mensah,2002-07-01,female,XS-0202,XS-0202 sector 3,urban,active,,,true,BRN-2002-0202-00065,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310602580,CP-000066,,Rina66,Raman,2011-08-27,male,XS-0203,XS-0203 sector 4,rural,active,,,true,BRN-2011-0203-00066,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310611719,CP-000067,,Kiran67,Almeida,1999-03-08,female,XS-0301,XS-0301 sector 5,urban,active,,,true,BRN-1999-0301-00067,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310620849,CP-000068,,Eli68,Mori,2005-08-01,male,XS-0302,XS-0302 sector 6,urban,active,,,true,BRN-2005-0302-00068,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310629979,CP-000069,,Mara69,Khan,2019-09-20,female,XS-0303,XS-0303 sector 7,urban,active,,,true,BRN-2019-0303-00069,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310639105,CP-000070,,Tala70,Santos,2023-01-06,male,XS-0401,XS-0401 sector 8,urban,active,,,true,,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310648232,CP-000071,,Rafi71,Okafor,2021-05-04,female,XS-0402,XS-0402 sector 9,rural,active,,,true,BRN-2021-0402-00071,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310657361,CP-000072,,Ari72,Dela Cruz,2010-10-12,male,XS-0403,XS-0403 sector 1,rural,active,,,true,BRN-2010-0403-00072,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310667233,CP-000073,,Mika73,Aquino,2004-08-06,female,XS-0101,XS-0101 sector 2,rural,active,,,true,BRN-2004-0101-00073,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310675622,CP-000074,,Nela74,Kone,2011-09-12,male,XS-0102,XS-0102 sector 3,rural,active,,,true,BRN-2011-0102-00074,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310684755,CP-000075,,Tomas75,Mensah,1980-06-18,female,XS-0103,XS-0103 sector 4,urban,active,,,true,BRN-1980-0103-00075,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310693889,CP-000076,,Lina76,Raman,1974-11-17,male,XS-0201,XS-0201 sector 5,rural,active,,,true,BRN-1974-0201-00076,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310703011,CP-000077,,Zaid77,Almeida,1955-06-06,female,XS-0202,XS-0202 sector 6,rural,active,,,true,BRN-1955-0202-00077,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310712148,CP-000078,,Rina78,Mori,1984-01-28,male,XS-0203,XS-0203 sector 7,rural,active,,,true,BRN-1984-0203-00078,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310721274,CP-000079,,Kiran79,Khan,1982-06-23,female,XS-0301,XS-0301 sector 8,urban,active,,,true,BRN-1982-0301-00079,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310730400,CP-000080,,Eli80,Santos,2021-06-16,male,XS-0302,XS-0302 sector 9,urban,active,,,true,,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310739539,CP-000081,,Mara81,Okafor,1999-07-24,female,XS-0303,XS-0303 sector 1,urban,active,,,true,BRN-1999-0303-00081,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310748669,CP-000082,,Tala82,Dela Cruz,2019-11-12,male,XS-0401,XS-0401 sector 2,rural,active,,,true,BRN-2019-0401-00082,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310757796,CP-000083,,Rafi83,Aquino,1997-12-15,female,XS-0402,XS-0402 sector 3,rural,active,,,true,BRN-1997-0402-00083,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310766922,CP-000084,,Ari84,Kone,1969-06-17,male,XS-0403,XS-0403 sector 4,rural,active,,,true,BRN-1969-0403-00084,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310776057,CP-000085,,Mika85,Mensah,1997-06-04,female,XS-0101,XS-0101 sector 5,urban,active,,,true,BRN-1997-0101-00085,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310785185,CP-000086,,Nela86,Raman,2014-01-13,male,XS-0102,XS-0102 sector 6,rural,active,,,true,BRN-2014-0102-00086,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310794315,CP-000087,,Tomas87,Almeida,1943-09-17,female,XS-0103,XS-0103 sector 7,rural,active,,,true,BRN-1943-0103-00087,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310803440,CP-000088,,Lina88,Mori,1986-07-07,male,XS-0201,XS-0201 sector 8,rural,active,,,true,BRN-1986-0201-00088,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310812573,CP-000089,,Zaid89,Khan,2006-09-03,female,XS-0202,XS-0202 sector 9,rural,active,,,true,BRN-2006-0202-00089,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310821708,CP-000090,,Rina90,Santos,1960-04-20,male,XS-0203,XS-0203 sector 1,urban,active,,,true,BRN-1960-0203-00090,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310830839,CP-000091,,Kiran91,Okafor,1971-10-28,female,XS-0301,XS-0301 sector 2,urban,active,,,true,BRN-1971-0301-00091,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310839963,CP-000092,,Eli92,Dela Cruz,1947-06-09,male,XS-0302,XS-0302 sector 3,urban,active,,,true,BRN-1947-0302-00092,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310849095,CP-000093,,Mara93,Aquino,2014-05-13,female,XS-0303,XS-0303 sector 4,urban,active,,,true,BRN-2014-0303-00093,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310858224,CP-000094,,Tala94,Kone,1968-12-15,male,XS-0401,XS-0401 sector 5,rural,active,,,true,BRN-1968-0401-00094,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310867351,CP-000095,,Rafi95,Mensah,2015-03-17,female,XS-0402,XS-0402 sector 6,urban,active,,,true,BRN-2015-0402-00095,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310876484,CP-000096,,Ari96,Raman,2025-11-22,male,XS-0403,XS-0403 sector 7,rural,active,,,true,BRN-2025-0403-00096,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310885612,CP-000097,,Mika97,Almeida,2024-12-11,female,XS-0101,XS-0101 sector 8,rural,active,,,true,BRN-2024-0101-00097,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310894745,CP-000098,,Nela98,Mori,1973-01-19,male,XS-0102,XS-0102 sector 9,rural,active,,,true,BRN-1973-0102-00098,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310903879,CP-000099,,Tomas99,Khan,1999-04-08,female,XS-0103,XS-0103 sector 1,rural,active,,,true,BRN-1999-0103-00099,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310913007,CP-000100,,Lina100,Santos,2006-09-10,male,XS-0201,XS-0201 sector 2,urban,active,,,true,BRN-2006-0201-00100,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310922134,CP-000101,,Zaid101,Okafor,2000-07-25,female,XS-0202,XS-0202 sector 3,rural,active,,,true,BRN-2000-0202-00101,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310931264,CP-000102,,Rina102,Dela Cruz,1995-11-12,male,XS-0203,XS-0203 sector 4,rural,active,,,true,BRN-1995-0203-00102,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310940394,CP-000103,,Kiran103,Aquino,1978-01-17,female,XS-0301,XS-0301 sector 5,urban,active,,,true,BRN-1978-0301-00103,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310949524,CP-000104,,Eli104,Kone,2011-09-23,male,XS-0302,XS-0302 sector 6,urban,active,,,true,BRN-2011-0302-00104,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310958659,CP-000105,,Mara105,Mensah,1999-06-05,female,XS-0303,XS-0303 sector 7,urban,active,,,true,BRN-1999-0303-00105,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310967784,CP-000106,,Tala106,Raman,1990-10-25,male,XS-0401,XS-0401 sector 8,rural,active,,,true,BRN-1990-0401-00106,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310976915,CP-000107,,Rafi107,Almeida,2015-02-10,female,XS-0402,XS-0402 sector 9,rural,active,,,true,BRN-2015-0402-00107,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310986045,CP-000108,,Ari108,Mori,2001-03-19,male,XS-0403,XS-0403 sector 1,rural,active,,,true,BRN-2001-0403-00108,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2310995174,CP-000109,,Mika109,Khan,1969-11-19,female,XS-0101,XS-0101 sector 2,rural,active,,,true,BRN-1969-0101-00109,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311004307,CP-000110,,Nela110,Santos,2010-11-13,male,XS-0102,XS-0102 sector 3,urban,active,,,true,BRN-2010-0102-00110,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311013435,CP-000111,,Tomas111,Okafor,1973-10-19,female,XS-0103,XS-0103 sector 4,rural,active,,,true,BRN-1973-0103-00111,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311022563,CP-000112,,Lina112,Dela Cruz,2002-01-08,male,XS-0201,XS-0201 sector 5,rural,active,,,true,BRN-2002-0201-00112,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311031690,CP-000113,,Zaid113,Aquino,1957-01-22,female,XS-0202,XS-0202 sector 6,rural,active,,,true,BRN-1957-0202-00113,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311040823,CP-000114,,Rina114,Kone,1989-02-11,male,XS-0203,XS-0203 sector 7,rural,active,,,true,BRN-1989-0203-00114,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311049954,CP-000115,,Kiran115,Mensah,1958-10-23,female,XS-0301,XS-0301 sector 8,urban,active,,,true,BRN-1958-0301-00115,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311059088,CP-000116,,Eli116,Raman,1960-02-16,male,XS-0302,XS-0302 sector 9,urban,active,,,true,BRN-1960-0302-00116,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311068212,CP-000117,,Mara117,Almeida,2020-10-17,female,XS-0303,XS-0303 sector 1,urban,active,,,true,BRN-2020-0303-00117,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311077342,CP-000118,,Tala118,Mori,1957-05-25,male,XS-0401,XS-0401 sector 2,rural,active,,,true,BRN-1957-0401-00118,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311086472,CP-000119,,Rafi119,Khan,1992-09-28,female,XS-0402,XS-0402 sector 3,rural,active,,,true,BRN-1992-0402-00119,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311095607,CP-000120,,Ari120,Santos,2000-09-07,male,XS-0403,XS-0403 sector 4,urban,active,,,true,BRN-2000-0403-00120,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311104730,CP-000121,,Mika121,Okafor,1997-09-08,female,XS-0101,XS-0101 sector 5,rural,active,,,true,BRN-1997-0101-00121,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
2311120153,CP-000122,,Nela122,Dela Cruz,2009-10-23,male,XS-0102,XS-0102 sector 6,rural,active,,,true,BRN-2009-0102-00122,2026-07-04T09:00:00Z,2026-07-04T09:00:00Z,NIA-SOLMARAID
